grid_id,pred_acc_rf,acc_count,centroid_lon,centroid_lat
68772,2152.685,3092.0,-0.12669740455562498,51.507644491385136
69191,1978.6725,2744.0,-0.08178164034964892,51.507644491385136
69192,1964.9025,2540.0,-0.08178164034964891,51.53559194508478
67934,1858.7,2122.0,-0.21652893296757714,51.50764449138514
68773,1806.5875,2310.0,-0.12669740455562498,51.53559194508479
68771,1761.2225,2162.0,-0.12669740455562498,51.479679884608416
68770,1731.34,2020.0,-0.126697404555625,51.45169812089246
68353,1730.93,2452.0,-0.17161316876160104,51.507644491385136
69194,1729.2275,2070.0,-0.08178164034964891,51.59143540877135
69190,1725.7625,2216.0,-0.08178164034964892,51.47967988460841
69193,1553.67,1827.0,-0.08178164034964891,51.56352224958351
69611,1528.3325,2034.0,-0.03686587614367284,51.53559194508479
68774,1496.24,1590.0,-0.126697404555625,51.5635222495835
68350,1427.86,1530.0,-0.17161316876160104,51.42369919638908
68352,1354.665,2055.0,-0.17161316876160104,51.47967988460842
69610,1347.6475,1796.0,-0.03686587614367284,51.507644491385136
59188,1303.8625,1142.0,-1.1597599812930746,52.965323041307784
70449,1242.9825,1551.0,0.05296565226827928,51.53559194508479
68354,1236.5125,1685.0,-0.17161316876160107,51.53559194508479
67935,1230.36,1457.0,-0.2165289329675771,51.53559194508478
68351,1166.01,1583.0,-0.17161316876160101,51.45169812089246
69609,1152.005,1574.0,-0.03686587614367284,51.47967988460842
49151,1132.8875,812.0,-2.2377383222365004,53.47627363845438
68769,1125.93,1293.0,-0.126697404555625,51.42369919638908
68748,1122.2625,1237.0,-0.126697404555625,50.831750975262466
42445,1096.8275,598.0,-2.956390549532118,53.42277621426384
67933,1096.0,1512.0,-0.21652893296757714,51.47967988460841
69195,1077.38,1171.0,-0.08178164034964892,51.61933142655231
42444,1072.895,750.0,-2.9563905495321174,53.396002229701
45726,1063.155,585.0,-2.597064435884309,51.479679884608416
70031,1014.045,897.0,0.008049888062303218,51.56352224958351
68768,991.8075,1234.0,-0.12669740455562498,51.39568310726411
45725,978.7425,1121.0,-2.5970644358843087,51.45169812089246
59948,975.2075,954.0,-1.0699284528811224,50.80337356859127
70030,972.69,1249.0,0.00804988806230322,51.53559194508479
69187,965.3125,1071.0,-0.08178164034964892,51.39568310726412
52466,965.08,1221.0,-1.8784122085886918,52.475627773570274
69608,933.595,1091.0,-0.03686587614367285,51.45169812089246
67936,926.48,1171.0,-0.21652893296757714,51.56352224958351
68775,913.73,1231.0,-0.126697404555625,51.59143540877135
67515,899.265,929.0,-0.26144469717355323,51.507644491385136
67096,871.07,892.0,-0.30636046137952927,51.50764449138514
56270,842.73,667.0,-1.474170330734907,53.36921139047478
70029,835.245,1211.0,0.00804988806230322,51.507644491385136
44972,817.5175,641.0,-2.6868959642962618,53.769306421273676
70027,816.52,887.0,0.00804988806230322,51.45169812089246
55868,808.83,531.0,-1.5190860949408833,53.82236668813007
52467,797.8675,785.0,-1.8784122085886916,52.50297740903624
70450,792.8075,1150.0,0.05296565226827928,51.56352224958351
70869,755.04,906.0,0.09788141647425536,51.5635222495835
